Tenant Name,City,Property Type,BHK,Size (Sq.Ft),Furnishing,Rent (₹/month),Property Age (yrs),Contact No.,Email ID,Availability Date
Raghav Kadakia,Nagpur,Studio,1,1884,Unfurnished,43671,20,9600474650,raghavkadakia@gmail.com,29-11-25
Samaira Chacko,Nagpur,Apartment,2,752,Unfurnished,25237,12,9869859661,samairachacko@gmail.com,10-11-25
Sara Jha,Delhi,Studio,1,1712,Furnished,61553,1,9885119421,sarajha@gmail.com,26-10-25
Charvi Lalla,Indore,Independent,5,1632,Unfurnished,28335,9,9974790962,charvilalla@gmail.com,30-10-25
Samar Bava,Bangalore,Independent,5,1699,Semi-Furnished,102501,18,9089591924,samarbava@gmail.com,24-10-25
Reyansh Kaul,Bangalore,Studio,2,698,Unfurnished,38074,9,9538203254,reyanshkaul@gmail.com,05-12-25
Piya Srinivas,Jaipur,Villa,2,937,Unfurnished,20284,8,9987259209,piyasrinivas@gmail.com,05-12-25
Samiha Sharaf,Jaipur,Studio,2,1431,Unfurnished,55919,11,9336189375,samihasharaf@gmail.com,18-11-25
Kavya Bajaj,Indore,Villa,1,2360,Furnished,57181,18,9233604489,kavyabajaj@gmail.com,31-10-25
Aaina Karnik,Mumbai,Independent,1,1283,Unfurnished,62219,5,9466206425,aainakarnik@gmail.com,13-10-25
Riya Dey,Chennai,Studio,4,2450,Furnished,115489,17,9982055709,riyadey@gmail.com,14-10-25
Diya Tiwari,Kolkata,Independent,2,1523,Unfurnished,31137,12,9975864059,diyatiwari@gmail.com,02-11-25
Jhanvi Bhargava,Bangalore,Independent,5,1780,Semi-Furnished,46218,16,9567229971,jhanvibhargava@gmail.com,28-11-25
Sumer Sarkar,Pune,Studio,3,917,Furnished,23450,8,9385913434,sumersarkar@gmail.com,29-12-25
Arhaan Baria,Hyderabad,Studio,4,1369,Semi-Furnished,24473,16,9717312027,arhaanbaria@gmail.com,31-10-25
Tarini Manda,Nagpur,Villa,1,2210,Furnished,39973,10,9770353591,tarinimanda@gmail.com,28-11-25
Hazel Saraf,Delhi,Studio,2,2440,Semi-Furnished,130743,13,9908896875,hazelsaraf@gmail.com,16-12-25
Tara Sachdeva,Jaipur,Independent,1,2264,Furnished,33090,17,9708614057,tarasachdeva@gmail.com,07-10-25
Anika Sheth,Hyderabad,Apartment,1,2405,Semi-Furnished,73416,18,9796202951,anikasheth@gmail.com,18-11-25
Shray Singh,Delhi,Villa,5,1601,Semi-Furnished,84399,15,9390905349,shraysingh@gmail.com,31-10-25
Bhamini Gaba,Nagpur,Independent,1,2089,Unfurnished,28624,17,9201968609,bhaminigaba@gmail.com,01-12-25
Jivin Rout,Mumbai,Independent,4,406,Semi-Furnished,26718,15,9329857002,jivinrout@gmail.com,04-11-25
Madhup Bava,Nagpur,Independent,1,1528,Furnished,53617,13,9557358910,madhupbava@gmail.com,12-10-25
Urvi Dugal,Delhi,Studio,2,2000,Unfurnished,87600,10,9637897238,urvidugal@gmail.com,22-10-25
Emir Mangat,Mumbai,Independent,5,1659,Semi-Furnished,92016,19,9673212426,emirmangat@gmail.com,31-12-25
Advika Ranganathan,Hyderabad,Villa,2,2398,Unfurnished,51357,2,9894753111,advikaranganathan@gmail.com,08-11-25
Hiran Saraf,Delhi,Apartment,5,1149,Furnished,32703,16,9906687232,hiransaraf@gmail.com,25-10-25
Dhanush Subramanian,Delhi,Villa,3,1957,Furnished,105922,11,9633848565,dhanushsubramanian@gmail.com,25-10-25
Romil Bhandari,Nagpur,Villa,4,632,Unfurnished,20091,17,9872646344,romilbhandari@gmail.com,07-10-25
Krish Din,Pune,Independent,4,2315,Semi-Furnished,44486,0,9385995327,krishdin@gmail.com,12-11-25
Azad Date,Pune,Apartment,4,2340,Furnished,67212,12,9749639713,azaddate@gmail.com,14-12-25
Khushi Tella,Delhi,Apartment,1,455,Furnished,19096,12,9807651199,khushitella@gmail.com,04-10-25
Vaibhav Hora,Nagpur,Apartment,1,1234,Semi-Furnished,32734,3,9316181650,vaibhavhora@gmail.com,26-12-25
Jivika Yogi,Pune,Apartment,3,1015,Semi-Furnished,31329,2,9468708613,jivikayogi@gmail.com,19-10-25
Gatik Vig,Kolkata,Apartment,3,1077,Furnished,21237,10,9184331389,gatikvig@gmail.com,04-10-25
Aaina Gala,Jaipur,Villa,5,2326,Furnished,36341,0,9441894764,aainagala@gmail.com,31-10-25
Tanya Chhabra,Chennai,Apartment,4,2078,Unfurnished,93443,19,9994885240,tanyachhabra@gmail.com,20-12-25
Aradhya Bhandari,Kolkata,Villa,2,1065,Unfurnished,37857,8,9534086011,aradhyabhandari@gmail.com,17-10-25
Riya Issac,Pune,Villa,2,519,Furnished,14637,2,9815291158,riyaissac@gmail.com,05-12-25
Krish Chanda,Hyderabad,Villa,2,2047,Semi-Furnished,44904,14,9392577942,krishchanda@gmail.com,27-12-25
Nirvaan Kunda,Nagpur,Independent,5,2213,Furnished,68979,20,9680373095,nirvaankunda@gmail.com,11-10-25
Misha Dhar,Chennai,Apartment,1,1655,Furnished,58717,15,9430952016,mishadhar@gmail.com,28-12-25
Kiaan Bhasin,Mumbai,Independent,2,2000,Semi-Furnished,139200,16,9202711970,kiaanbhasin@gmail.com,07-12-25
Lagan Bhatnagar,Chennai,Villa,5,1555,Semi-Furnished,37431,17,9916857665,laganbhatnagar@gmail.com,19-11-25
Divyansh Sathe,Nagpur,Independent,5,2492,Furnished,84198,4,9108793908,divyanshsathe@gmail.com,26-12-25
Kiara Mand,Mumbai,Independent,1,2205,Furnished,133942,0,9559490078,kiaramand@gmail.com,12-12-25
Ira Golla,Pune,Studio,1,742,Furnished,23222,1,9196562080,iragolla@gmail.com,19-11-25
Indranil Virk,Indore,Studio,1,2321,Unfurnished,58759,3,9445736395,indranilvirk@gmail.com,10-12-25
Piya Sule,Delhi,Apartment,5,2084,Semi-Furnished,67816,2,9355289334,piyasule@gmail.com,28-10-25
Heer Sama,Hyderabad,Independent,1,1857,Semi-Furnished,85954,3,9899432663,heersama@gmail.com,25-11-25
Lagan Baria,Jaipur,Independent,4,1036,Semi-Furnished,34834,10,9014483025,laganbaria@gmail.com,20-11-25
Ritvik Bora,Indore,Studio,4,2089,Unfurnished,54061,9,9926164076,ritvikbora@gmail.com,05-11-25
Anya Chaudhry,Bangalore,Studio,4,429,Semi-Furnished,12400,11,9207186417,anyachaudhry@gmail.com,26-10-25
Vardaniya Sule,Jaipur,Independent,3,1804,Furnished,36411,8,9567846793,vardaniyasule@gmail.com,25-11-25
Fateh Devan,Kolkata,Apartment,5,1584,Semi-Furnished,38410,1,9803066391,fatehdevan@gmail.com,03-11-25
Vihaan Bhasin,Indore,Villa,4,2374,Semi-Furnished,29003,8,9450457131,vihaanbhasin@gmail.com,12-12-25
Kartik Deo,Bangalore,Villa,2,490,Semi-Furnished,17675,20,9488805182,kartikdeo@gmail.com,06-10-25
Azad Bera,Delhi,Studio,5,1510,Unfurnished,78343,9,9765661069,azadbera@gmail.com,03-11-25
Yuvraj  Malhotra,Nagpur,Studio,2,2184,Furnished,65432,3,9934149472,yuvrajmalhotra@gmail.com,19-12-25
Pranay Das,Mumbai,Apartment,4,649,Furnished,18369,16,9638554410,pranaydas@gmail.com,25-10-25
Eva Ben,Chennai,Studio,2,1595,Semi-Furnished,72712,10,9467016860,evaben@gmail.com,15-10-25
Suhana Bir,Nagpur,Independent,5,973,Unfurnished,35952,20,9976336363,suhanabir@gmail.com,20-11-25
Vaibhav Chowdhury,Bangalore,Independent,2,1356,Semi-Furnished,71019,20,9970383832,vaibhavchowdhury@gmail.com,07-10-25
Kismat Baria,Hyderabad,Apartment,5,1410,Furnished,58505,13,9248615740,kismatbaria@gmail.com,27-11-25
Miraya Raju,Hyderabad,Apartment,3,2116,Unfurnished,51722,3,9720571816,mirayaraju@gmail.com,22-12-25
Samarth Babu,Bangalore,Villa,4,1351,Furnished,33654,14,9002097601,samarthbabu@gmail.com,27-10-25
Prisha Chand,Bangalore,Villa,1,2107,Semi-Furnished,121226,14,9266935771,prishachand@gmail.com,24-11-25
Miraan Thaker,Kolkata,Independent,2,639,Unfurnished,27679,4,9796124812,miraanthaker@gmail.com,26-12-25
Bhavin Subramanian,Mumbai,Studio,3,1478,Unfurnished,75762,12,9391853766,bhavinsubramanian@gmail.com,01-11-25
Vardaniya Bhavsar,Delhi,Apartment,2,2227,Unfurnished,78176,9,9875403588,vardaniyabhavsar@gmail.com,04-10-25
Madhav Cherian,Nagpur,Independent,1,2246,Semi-Furnished,71647,15,9050234531,madhavcherian@gmail.com,23-12-25
Jivin Handa,Kolkata,Villa,4,1197,Semi-Furnished,22547,18,9279144818,jivinhanda@gmail.com,18-10-25
Keya Gade,Jaipur,Studio,2,1898,Semi-Furnished,69603,15,9766080529,keyagade@gmail.com,05-11-25
Sara Bala,Kolkata,Villa,3,1244,Unfurnished,40626,17,9103626330,sarabala@gmail.com,29-11-25
Ivan Solanki,Nagpur,Villa,2,1787,Semi-Furnished,52725,16,9431131700,ivansolanki@gmail.com,13-12-25
Prisha Barad,Chennai,Villa,4,1899,Semi-Furnished,39932,16,9553261681,prishabarad@gmail.com,28-11-25
Dharmajan Roy,Mumbai,Apartment,2,2272,Furnished,63650,12,9514002235,dharmajanroy@gmail.com,05-11-25
Vivaan Dora,Hyderabad,Independent,4,1753,Unfurnished,51140,12,9537515828,vivaandora@gmail.com,23-12-25
Faiyaz Lall,Bangalore,Villa,2,1396,Furnished,83205,18,9618998817,faiyazlall@gmail.com,22-11-25
Advik Mani,Chennai,Studio,1,1618,Semi-Furnished,84552,20,9633144500,advikmani@gmail.com,18-10-25
Abram Raval,Hyderabad,Apartment,2,1685,Semi-Furnished,49982,4,9427291283,abramraval@gmail.com,10-10-25
Renee Aggarwal,Bangalore,Independent,4,1241,Semi-Furnished,85983,0,9724053074,reneeaggarwal@gmail.com,03-12-25
Hunar Swamy,Kolkata,Villa,4,1158,Furnished,51418,17,9465462012,hunarswamy@gmail.com,23-12-25
Ahana  Kanda,Bangalore,Villa,1,2073,Furnished,143136,1,9572916232,ahanakanda@gmail.com,07-11-25
Yuvraj  Datta,Pune,Studio,1,1315,Unfurnished,26335,3,9337733032,yuvrajdatta@gmail.com,25-10-25
Renee Sabharwal,Indore,Independent,2,637,Semi-Furnished,18803,7,9172363323,reneesabharwal@gmail.com,07-10-25
Aniruddh Divan,Pune,Villa,1,2265,Semi-Furnished,84348,3,9899241165,aniruddhdivan@gmail.com,01-11-25
Yuvraj  Som,Chennai,Studio,4,925,Furnished,29812,0,9683559508,yuvrajsom@gmail.com,08-11-25
Mishti Tella,Jaipur,Villa,4,1333,Unfurnished,49907,14,9871921510,mishtitella@gmail.com,27-10-25
Vardaniya Kumar,Pune,Independent,3,2394,Unfurnished,93110,20,9915024689,vardaniyakumar@gmail.com,02-12-25
Ojas Hayer,Jaipur,Villa,3,2233,Unfurnished,38508,17,9411560590,ojashayer@gmail.com,12-11-25
Samarth Dara,Pune,Villa,4,1180,Furnished,40108,5,9306866965,samarthdara@gmail.com,26-11-25
Shanaya Bawa,Chennai,Apartment,5,2123,Furnished,67311,20,9438378433,shanayabawa@gmail.com,29-12-25
Adah Mangat,Pune,Studio,2,891,Furnished,33492,9,9239644899,adahmangat@gmail.com,01-11-25
Samiha Singhal,Nagpur,Studio,5,1317,Unfurnished,27327,11,9900659703,samihasinghal@gmail.com,04-10-25
Charvi Ganesh,Mumbai,Independent,1,1174,Unfurnished,43344,4,9705923658,charviganesh@gmail.com,17-10-25
Sahil Kar,Indore,Villa,2,1858,Semi-Furnished,29462,1,9822869006,sahilkar@gmail.com,05-11-25
Samar Sagar,Jaipur,Studio,1,1178,Furnished,29666,18,9903340847,samarsagar@gmail.com,14-11-25
Faiyaz Chokshi,Delhi,Apartment,1,1213,Unfurnished,31618,16,9002340908,faiyazchokshi@gmail.com,17-10-25
Lakshay Bir,Pune,Villa,3,2243,Furnished,46460,13,9144809998,lakshaybir@gmail.com,23-10-25
Uthkarsh Trivedi,Hyderabad,Independent,5,2082,Furnished,83155,16,9972850680,uthkarshtrivedi@gmail.com,30-11-25
Kashvi Korpal,Kolkata,Studio,4,1240,Unfurnished,22904,6,9513680627,kashvikorpal@gmail.com,29-12-25
Jivika Deep,Hyderabad,Apartment,4,1528,Unfurnished,48284,6,9506707597,jivikadeep@gmail.com,06-12-25
Sana Kamdar,Indore,Studio,3,1448,Unfurnished,45693,19,9831405358,sanakamdar@gmail.com,05-10-25
Indrans Raj,Pune,Independent,4,730,Semi-Furnished,27136,0,9687502359,indransraj@gmail.com,20-11-25
Sana Bora,Jaipur,Apartment,2,1263,Furnished,41904,15,9991473530,sanabora@gmail.com,23-12-25
Madhup Divan,Nagpur,Studio,1,1781,Furnished,50584,4,9926883433,madhupdivan@gmail.com,25-11-25
Kaira Kara,Chennai,Independent,5,2324,Unfurnished,85383,1,9011164324,kairakara@gmail.com,13-12-25
Jiya Vyas,Mumbai,Apartment,5,2491,Semi-Furnished,109055,7,9243565150,jiyavyas@gmail.com,04-10-25
Neysa Bhatti,Mumbai,Apartment,3,1088,Furnished,52272,20,9812893469,neysabhatti@gmail.com,12-11-25
Zara Toor,Indore,Studio,3,648,Semi-Furnished,15018,15,9604982600,zaratoor@gmail.com,24-11-25
Sara Hora,Indore,Studio,3,2001,Furnished,40186,20,9345295949,sarahora@gmail.com,16-11-25
Tushar Goswami,Chennai,Villa,3,2292,Furnished,88023,0,9079345052,tushargoswami@gmail.com,24-12-25
Dharmajan Keer,Nagpur,Apartment,3,961,Semi-Furnished,23280,8,9861776139,dharmajankeer@gmail.com,04-11-25
Vardaniya Keer,Bangalore,Independent,4,1192,Semi-Furnished,41619,17,9307562799,vardaniyakeer@gmail.com,16-12-25
Indrans Dhar,Pune,Studio,3,948,Unfurnished,32668,17,9865482653,indransdhar@gmail.com,05-11-25
Devansh Barad,Kolkata,Villa,3,1985,Semi-Furnished,31222,19,9788460226,devanshbarad@gmail.com,22-11-25
Bhavin Sawhney,Chennai,Studio,4,1501,Furnished,49863,13,9317088548,bhavinsawhney@gmail.com,23-12-25
Veer Deep,Pune,Studio,4,686,Unfurnished,28494,19,9440834655,veerdeep@gmail.com,17-12-25
Dharmajan Wali,Pune,Apartment,5,786,Furnished,15311,19,9446359811,dharmajanwali@gmail.com,25-11-25
Riaan Gupta,Jaipur,Apartment,2,912,Semi-Furnished,12877,14,9436968875,riaangupta@gmail.com,19-10-25
Taimur Issac,Delhi,Independent,4,446,Unfurnished,25849,2,9879513327,taimurissac@gmail.com,17-11-25
Hansh Rattan,Delhi,Apartment,5,2378,Furnished,128372,0,9451787971,hanshrattan@gmail.com,22-12-25
Mishti Dua,Hyderabad,Studio,5,621,Furnished,28187,16,9611553167,mishtidua@gmail.com,06-12-25
Heer Sachar,Delhi,Villa,3,841,Semi-Furnished,31225,19,9137528462,heersachar@gmail.com,13-11-25
Yakshit Dugar,Chennai,Independent,5,1307,Unfurnished,69910,13,9872126381,yakshitdugar@gmail.com,12-11-25
Faiyaz Khanna,Bangalore,Studio,5,2008,Semi-Furnished,106544,19,9466819744,faiyazkhanna@gmail.com,25-12-25
Drishya Som,Mumbai,Independent,5,2154,Furnished,158028,11,9266309147,drishyasom@gmail.com,18-11-25
Nakul Chowdhury,Hyderabad,Independent,4,577,Furnished,11959,17,9956733018,nakulchowdhury@gmail.com,10-10-25
Tanya Kant,Chennai,Independent,1,1761,Furnished,51849,14,9834192486,tanyakant@gmail.com,01-11-25
Suhana Varkey,Delhi,Villa,3,2068,Semi-Furnished,67416,7,9688719840,suhanavarkey@gmail.com,03-11-25
Sana Kanda,Jaipur,Villa,3,944,Semi-Furnished,28727,8,9658343062,sanakanda@gmail.com,21-10-25
Dhruv Handa,Indore,Independent,5,779,Semi-Furnished,22871,18,9281605653,dhruvhanda@gmail.com,05-12-25
Elakshi Lal,Bangalore,Villa,5,1191,Unfurnished,27806,8,9835048322,elakshilal@gmail.com,01-11-25
Onkar Rastogi,Hyderabad,Villa,1,2251,Furnished,100492,10,9050167972,onkarrastogi@gmail.com,28-11-25
Adah Lad,Nagpur,Apartment,1,1202,Semi-Furnished,43241,8,9472189195,adahlad@gmail.com,20-11-25
Bhamini Jhaveri,Nagpur,Villa,5,1117,Semi-Furnished,38927,6,9375703756,bhaminijhaveri@gmail.com,27-12-25
Madhav Kar,Hyderabad,Apartment,1,2169,Unfurnished,54514,17,9160842789,madhavkar@gmail.com,15-12-25
Urvi Ramaswamy,Nagpur,Studio,2,1561,Unfurnished,32457,2,9137528507,urviramaswamy@gmail.com,18-10-25
Samaira Cherian,Delhi,Independent,4,2265,Semi-Furnished,82276,1,9955291875,samairacherian@gmail.com,15-11-25
Azad Deo,Pune,Villa,3,519,Unfurnished,25560,12,9380928756,azaddeo@gmail.com,30-12-25
Biju Kapur,Jaipur,Independent,3,1465,Furnished,50919,9,9291854251,bijukapur@gmail.com,25-11-25
Dishani Sankar,Pune,Independent,4,2239,Unfurnished,53318,9,9747244377,dishanisankar@gmail.com,13-12-25
Rania Basak,Delhi,Villa,1,2110,Furnished,115671,12,9416300403,raniabasak@gmail.com,27-11-25
Jayan Andra,Jaipur,Studio,1,1072,Semi-Furnished,30399,4,9829758364,jayanandra@gmail.com,04-11-25
Damini Dhingra,Jaipur,Villa,5,583,Semi-Furnished,13443,4,9253929559,daminidhingra@gmail.com,20-12-25
Hrishita Bhardwaj,Kolkata,Villa,5,684,Unfurnished,15556,1,9363995240,hrishitabhardwaj@gmail.com,11-12-25
Manikya Lalla,Hyderabad,Independent,1,597,Unfurnished,19937,17,9191241751,manikyalalla@gmail.com,07-12-25
Uthkarsh Shankar,Jaipur,Apartment,3,587,Semi-Furnished,19630,8,9497575511,uthkarshshankar@gmail.com,14-11-25
Nayantara Dubey,Indore,Villa,2,1600,Unfurnished,55085,13,9377391514,nayantaradubey@gmail.com,10-10-25
Amira Kapoor,Pune,Apartment,1,1132,Furnished,38752,11,9532426950,amirakapoor@gmail.com,23-11-25
Azad Tella,Chennai,Independent,1,1347,Unfurnished,69388,9,9818294260,azadtella@gmail.com,18-12-25
Renee Kari,Hyderabad,Villa,2,1243,Furnished,23621,15,9294496138,reneekari@gmail.com,28-11-25
Ivana Ravi,Hyderabad,Studio,5,2254,Unfurnished,110746,6,9421486068,ivanaravi@gmail.com,25-12-25
Tushar Gandhi,Hyderabad,Villa,2,574,Furnished,23333,20,9974003729,tushargandhi@gmail.com,02-11-25
Baiju Gill,Hyderabad,Studio,2,1465,Furnished,70290,11,9281209159,baijugill@gmail.com,19-12-25
Ranbir Sabharwal,Mumbai,Villa,1,2420,Semi-Furnished,88559,12,9591502691,ranbirsabharwal@gmail.com,14-12-25
Prisha Amble,Mumbai,Villa,1,1926,Semi-Furnished,94364,7,9251952371,prishaamble@gmail.com,24-12-25
Jivin Bahri,Indore,Apartment,2,1984,Unfurnished,28368,13,9758698164,jivinbahri@gmail.com,30-12-25
Drishya Dube,Pune,Villa,1,2118,Semi-Furnished,81027,18,9849749514,drishyadube@gmail.com,13-11-25
Shray Sundaram,Hyderabad,Villa,5,800,Furnished,16213,14,9286780388,shraysundaram@gmail.com,15-11-25
Shayak Gupta,Chennai,Independent,4,2022,Unfurnished,107206,8,9151249837,shayakgupta@gmail.com,09-11-25
Raghav Hari,Pune,Studio,2,2452,Unfurnished,67781,7,9073101779,raghavhari@gmail.com,19-12-25
Mahika Rao,Chennai,Villa,3,2333,Unfurnished,64465,13,9916932150,mahikarao@gmail.com,21-12-25
Neysa Lanka,Hyderabad,Independent,2,697,Semi-Furnished,14564,10,9814867548,neysalanka@gmail.com,15-11-25
Kanav Rana,Jaipur,Villa,4,1675,Unfurnished,28296,20,9408369630,kanavrana@gmail.com,12-10-25
Aaina Vasa,Jaipur,Studio,5,2420,Furnished,39604,9,9173472721,aainavasa@gmail.com,04-10-25
Chirag Comar,Nagpur,Studio,2,1187,Unfurnished,39850,12,9248126761,chiragcomar@gmail.com,03-11-25
Kimaya Sibal,Chennai,Villa,5,1979,Semi-Furnished,88461,20,9385469802,kimayasibal@gmail.com,09-12-25
Drishya Walla,Pune,Studio,5,2161,Unfurnished,91936,9,9600577422,drishyawalla@gmail.com,15-11-25
Onkar Bal,Hyderabad,Villa,3,2235,Semi-Furnished,88401,20,9401544987,onkarbal@gmail.com,27-12-25
Kismat Sule,Hyderabad,Studio,5,1971,Furnished,40247,0,9369001764,kismatsule@gmail.com,09-10-25
Nehmat Kar,Bangalore,Independent,1,2258,Unfurnished,66121,2,9236512838,nehmatkar@gmail.com,03-12-25
Samaira Chad,Mumbai,Independent,4,691,Furnished,37991,17,9095666973,samairachad@gmail.com,30-10-25
Prisha Bhatt,Pune,Studio,2,2486,Furnished,110975,15,9346589048,prishabhatt@gmail.com,15-10-25
Hridaan Sehgal,Jaipur,Apartment,5,1213,Furnished,33158,6,9985628465,hridaansehgal@gmail.com,31-12-25
Anika Bumb,Chennai,Apartment,4,1133,Unfurnished,30056,3,9645477919,anikabumb@gmail.com,20-10-25
Elakshi Savant,Hyderabad,Studio,4,1366,Unfurnished,37674,1,9745688324,elakshisavant@gmail.com,16-11-25
Saira Tata,Mumbai,Studio,3,827,Semi-Furnished,57658,12,9614114845,sairatata@gmail.com,26-10-25
Mehul Dani,Hyderabad,Studio,4,481,Furnished,20599,12,9756345662,mehuldani@gmail.com,12-10-25
Zara Yohannan,Hyderabad,Apartment,1,417,Furnished,14148,15,9905601037,zarayohannan@gmail.com,16-12-25
Sana Sachar,Delhi,Apartment,3,1824,Furnished,95782,19,9676188577,sanasachar@gmail.com,03-12-25
Lakshit Loyal,Pune,Apartment,4,2301,Semi-Furnished,41655,10,9262341848,lakshitloyal@gmail.com,23-12-25
Anahita Sidhu,Mumbai,Apartment,3,1382,Unfurnished,35669,1,9776759259,anahitasidhu@gmail.com,25-10-25
Advik Jha,Nagpur,Apartment,1,596,Unfurnished,15196,9,9555209140,advikjha@gmail.com,20-12-25
Tarini Buch,Chennai,Villa,3,1932,Semi-Furnished,106139,3,9510269715,tarinibuch@gmail.com,19-11-25
Hunar Chacko,Pune,Independent,3,2088,Semi-Furnished,46019,17,9254998449,hunarchacko@gmail.com,26-12-25
Kaira Dube,Chennai,Independent,1,1546,Furnished,31206,18,9544397923,kairadube@gmail.com,12-10-25
Rati Kaul,Mumbai,Villa,2,1571,Unfurnished,114730,7,9864577501,ratikaul@gmail.com,13-11-25
Arhaan Mand,Kolkata,Apartment,1,420,Unfurnished,16100,7,9088565011,arhaanmand@gmail.com,30-10-25
Ojas Verma,Pune,Villa,5,840,Unfurnished,39127,20,9329640391,ojasverma@gmail.com,13-12-25
Vritika Shenoy,Delhi,Villa,2,1617,Semi-Furnished,84892,8,9305131115,vritikashenoy@gmail.com,17-11-25
Yashvi Chaudry,Pune,Studio,3,1913,Semi-Furnished,86888,4,9973892221,yashvichaudry@gmail.com,16-11-25
Himmat Gour,Nagpur,Apartment,1,1982,Semi-Furnished,54153,8,9257910454,himmatgour@gmail.com,04-11-25
Gatik Khatri,Kolkata,Apartment,3,1872,Furnished,52436,11,9669371580,gatikkhatri@gmail.com,09-12-25
Gokul Bumb,Hyderabad,Villa,5,852,Unfurnished,21345,8,9349863204,gokulbumb@gmail.com,04-10-25
Farhan Mane,Delhi,Independent,4,1032,Furnished,24621,5,9636825201,farhanmane@gmail.com,11-11-25
Indranil Ben,Bangalore,Villa,1,891,Unfurnished,59571,19,9602666776,indranilben@gmail.com,18-10-25
Kavya Tella,Nagpur,Independent,1,2242,Furnished,76300,12,9500105691,kavyatella@gmail.com,13-11-25
Shamik Kapur,Pune,Apartment,2,571,Unfurnished,21250,4,9861281619,shamikkapur@gmail.com,11-11-25
Yashvi Ray,Pune,Villa,1,1423,Semi-Furnished,44653,13,9411937479,yashviray@gmail.com,28-11-25
Taimur Bhasin,Jaipur,Studio,2,1846,Semi-Furnished,58880,7,9185735867,taimurbhasin@gmail.com,05-12-25
Yasmin Gera,Chennai,Independent,5,678,Unfurnished,28825,18,9726274191,yasmingera@gmail.com,29-12-25
Nakul De,Pune,Studio,2,2382,Furnished,96383,8,9070905492,nakulde@gmail.com,12-10-25
Dhanuk Suresh,Chennai,Studio,4,792,Semi-Furnished,26002,1,9655931877,dhanuksuresh@gmail.com,31-10-25
Baiju Rau,Kolkata,Studio,4,527,Unfurnished,20742,9,9980980877,baijurau@gmail.com,10-10-25
Kanav Jaggi,Pune,Villa,3,1954,Furnished,91942,9,9750531864,kanavjaggi@gmail.com,02-12-25
Alisha Baral,Bangalore,Apartment,1,658,Semi-Furnished,18519,13,9213272924,alishabaral@gmail.com,04-12-25
Ehsaan Taneja,Nagpur,Independent,1,2478,Unfurnished,62067,8,9198314953,ehsaantaneja@gmail.com,23-10-25
Divij Shere,Nagpur,Apartment,4,1725,Semi-Furnished,34142,5,9977423430,divijshere@gmail.com,20-10-25
Yuvraj  Lanka,Delhi,Independent,3,1738,Furnished,100985,16,9314439340,yuvrajlanka@gmail.com,26-10-25
Priyansh Sankaran,Hyderabad,Studio,2,1908,Unfurnished,50771,15,9921103229,priyanshsankaran@gmail.com,19-10-25
Suhana Rastogi,Mumbai,Independent,2,1485,Semi-Furnished,99249,13,9634919926,suhanarastogi@gmail.com,24-10-25
Jayesh Varughese,Indore,Villa,5,762,Semi-Furnished,21151,5,9491278631,jayeshvarughese@gmail.com,29-10-25
Bhavin Rajagopalan,Delhi,Apartment,3,2207,Semi-Furnished,71653,7,9054214511,bhavinrajagopalan@gmail.com,19-12-25
Nitara Gandhi,Bangalore,Independent,1,1027,Furnished,64135,19,9904936857,nitaragandhi@gmail.com,23-11-25
Kimaya Upadhyay,Kolkata,Villa,4,2172,Furnished,91067,16,9466772004,kimayaupadhyay@gmail.com,20-12-25
Himmat Kapoor,Chennai,Villa,5,729,Unfurnished,20996,6,9751823589,himmatkapoor@gmail.com,01-11-25
Neysa Agarwal,Jaipur,Apartment,3,1249,Semi-Furnished,28627,5,9439986194,neysaagarwal@gmail.com,09-12-25
Shaan Banerjee,Bangalore,Apartment,2,449,Unfurnished,30860,3,9153223091,shaanbanerjee@gmail.com,16-10-25
Taimur Mall,Pune,Apartment,5,1572,Unfurnished,29553,9,9494809797,taimurmall@gmail.com,14-10-25
Tiya Wali,Chennai,Apartment,5,737,Unfurnished,26758,17,9511511221,tiyawali@gmail.com,15-11-25
Ahana  Varghese,Bangalore,Independent,1,414,Semi-Furnished,18477,14,9130206423,ahanavarghese@gmail.com,12-12-25
Vedika Shanker,Pune,Villa,5,1354,Semi-Furnished,44921,5,9765661153,vedikashanker@gmail.com,28-12-25
Keya Singhal,Bangalore,Apartment,2,2393,Furnished,147777,14,9732860561,keyasinghal@gmail.com,16-12-25
Indrans Doshi,Pune,Studio,2,892,Semi-Furnished,31029,3,9482511960,indransdoshi@gmail.com,12-11-25
Ishita Deshmukh,Chennai,Studio,2,575,Furnished,24309,18,9436409149,ishitadeshmukh@gmail.com,02-12-25
Jivika Venkatesh,Kolkata,Apartment,1,2296,Semi-Furnished,45054,9,9024354240,jivikavenkatesh@gmail.com,23-11-25
Adira Khare,Nagpur,Studio,3,2089,Furnished,74702,20,9811098007,adirakhare@gmail.com,04-11-25
Jayan Bir,Kolkata,Apartment,1,1193,Unfurnished,41602,3,9849830947,jayanbir@gmail.com,17-10-25
Ivana Ahluwalia,Indore,Studio,2,1649,Semi-Furnished,37018,14,9523056851,ivanaahluwalia@gmail.com,16-11-25
Seher Vaidya,Delhi,Studio,5,730,Semi-Furnished,23174,0,9269469513,sehervaidya@gmail.com,12-12-25
Manjari Deol,Indore,Apartment,5,813,Furnished,10822,4,9671753470,manjarideol@gmail.com,04-11-25
Ela Grewal,Nagpur,Apartment,1,2209,Furnished,57610,13,9457224591,elagrewal@gmail.com,16-11-25
